,Unnamed: 0,role,location,ptr_ac_os,ptr_os_oe,ptr_oe_oa,lat_ac_os,lat_os_oe,lat_oe_oa,lookback_window,rnk
0,12,India Cloud Recruiting,India,0.1744855967,0.02830188679,0.8888888889,22.6745283,22.33333333,2.0,90,1.0
1,18,India GBO Recruiting,India,0.1719457014,0.004385964912,1.0,11.82017544,86.0,15.0,360,1.0
2,20,India SWE Recruiting,India,0.02430113009,0.06468531469,0.9285714286,60.15559441,188.7567568,1.938461538,90,1.0
3,26,Cloud Americas Recruiting,LATAM,0.2463768116,0.05882352941,1.0,30.41176471,43.0,4.0,1000000,1.0
4,27,GBO Recruiting,LATAM,0.004316298343,0.06,1.0,17.74,19.33333333,1.5,90,1.0
5,39,Cloud Americas Recruiting,US,0.2785035629,0.05330490405,0.8673469388,21.90724947,34.46,1.623529412,90,1.0
6,45,Early Career SWE Recruiting,US,0.3543307087,0.02222222222,1.0,48.91851852,156.0,2.333333333,360,1.0
7,47,GBO Recruiting,US,0.1078701156,0.2653061224,0.9,15.91326531,15.61538462,0.9814814815,90,1.0
8,54,GBO Sourcing/Recruiting,US,0.004087889627,0.25,1.0,27.125,14.5,3.333333333,1000000,1.0
9,57,RSR EMEA GBO Recruiting,US,0.5259515571,0.09868421053,0.9473684211,14.03947368,38.2,8.5,1000000,1.0
10,59,YouTube Recruiting,US,0.1542857143,0.07407407407,1.0,25.62962963,17.0,2.0,90,1.0
